	NOMS	Occurence
641	M. le docteur A. Kermorgant. Historique sommaire de la transportation. A. Transportation à la Guyane. B	1
642	M.-E Farinaud 	1
643	M.-E. Farinaud	1
644	M.-E. Farinaud 	1
645	MM. Les Docteurs J. R. P. Boulnois	1
646	Mainguy	1
647	Malouvier	1
648	Maltzer	1
649	Mantel	1
650	Marcel Leger	9
651	Marcel Léger	1
652	Marcel Robineau	1
653	Marchoux	4
654	Marchoux.	1
655	Marneffe	1
656	Marque	3
657	Martel	2
658	Martial	2
659	Martin	1
660	Martinotti	1
661	Marty	1
662	Mas	1
663	Massiou	3
664	Mathis	4
665	Maurer	1
666	Maurice Cohen	1
667	Maurice Philaire	1
668	Maurice Rousseau	1
669	Mautret	1
670	Mazière	1
671	Mercier	1
672	Merveilleux	1
673	Merveilleux. 	2
674	Merveilleux. Chapitre premier	1
675	Meslin	1
676	Mesnard	1
677	Mias	1
678	Millous	5
679	Miquel	3
680	Mirville	3
681	Mission d’étude sur la fièvre jaune à la Martinique	1
682	Mondon	3
683	Monfort	1
684	Montagné	1
685	Montel	5
686	Montel (M.-L.-R	2
687	Montestruc	1
688	Montfort	2
689	Moreau	1
690	Morel	3
691	Morel (A.-D.). A	1
692	Morel (A.-D.). C	1
693	Mouillac	3
694	Moulinard	1
695	Mouzels	4
696	Mul	1
697	Muraz	1
698	Mury	1
699	Métin	2
700	Métin(traduction)	1
701	N. -L. Huot 	1
702	Neiret	2
703	Noc	6
704	Nogue	1
705	Nogué	1
706	Normet	5
707	Nouaille-Degorce	1
708	Noêl Bernard	1
709	Noël	2
710	Noël Bernard	4
711	Néel	2
712	Ochotine	1
713	Ortholan	7
714	Osw Goebel	1
715	Ott	1
716	Ouzilleau	4
717	P. Aubert	1
718	P. C. Flu 	1
719	P. Chesneau	2
720	P. Cordier	1
721	P. Dantec	4
722	P. Doreau	1
723	P. Dubroca	1
724	P. Ferré	3
725	P. Gouzien	3
726	P. Huard	5
727	P. Longe	1
728	P. Millous	2
729	P. Mouzels	1
730	P. Noël	1
731	P. Passa	1
732	P. Pétard	1
733	P. Rodes	1
734	P. Roussel	1
735	P. Sibenaler 	1
736	P.-L Simond	1
737	P.-L.-S Simond 	1
738	P.Gouzien	1
739	Pairault	2
740	Pales	1
741	Palmyr Cordier	2
742	Pannetier	1
743	Paul Gouzien	10
744	Paul Guérin	2
745	Paul Ravaut	1
746	Peirier	3
747	Peirrier	2
748	Pelletier	3
749	Peltier	5
750	Percheron	2
751	Perret	1
752	Perrier	1
753	Perrot	2
754	Perthuisot	2
755	Petit	2
756	Peuduvallon	1
757	Peyre	1
758	Peyrot	2
759	Philaire	2
760	Phiquepal d'Arusmont	1
761	Pichon	1
762	Pichoy	1
763	Pierrat	1
764	Pierre (Louis-Édouard)	1
765	Pierre Chesneau	6
766	Pierre Dantec	1
767	Pierre Millous	2
768	Pierre Richet	1
769	Pignet	2
770	Pinard	1
771	Pons	3
772	Porot	1
773	Porte	1
774	Posada Berrio 	1
775	Pottier	2
776	Poullain	1
777	Poumayrac	1
778	Poumeyrac	2
779	Primet	3
780	Pujo	1
781	Pélissier	3
