	NOM (Prenom)	Recherche_G-nbr	Recherche_NomPrenom-nbr
492	RAVAUT (P.)	11	0
493	RAVAUT()	11	11
494	RAYNAUD (L.)	427	3
495	RAYNAUD (M.)	427	3
496	REGNAULT (F.)	233	1
497	REMLINGER (P.)	6	0
498	REMY (F. J.)	2118	1
499	RÉPIN (CH.)	6	0
500	RHODAIN (J.)	2	0
501	RICHARD (G.)	18034	244
502	RIEUX (J.)	70	3
503	RIGOLLET()	38	38
504	RISQUEZ (J.-R.)	7	0
505	RIZZUTI (G.)	5	0
506	ROBERT	29200	29200
507	ROBERT (Léopold)	29200	11
508	ROBERT (M.J.F.)	29200	0
509	ROBIN	2702	2702
510	ROBLEDO (E.)	64	0
511	ROBLES (R.)	280	2
512	ROBLIN	80	80
513	ROCQUES (X.)	16	0
514	RODET (A.)	63	2
515	RODHAIN (J.)	11	0
516	RODRIGUEZ	4226	4226
517	ROIG (G.)	208	1
518	ROMANOVITCH (M.)	9	0
519	ROSENBAUM	136	136
520	ROSS (PH. H.)	1615	0
521	ROUBAUD (E.)	89	1
522	ROUDSKY (D.)	0	0
523	ROUFFIANDIS (V.)	3	0
524	ROUSSEAU (L.)	1340	17
525	ROUSSEAU (Paul)	1340	16
526	ROUX (É.)	2232	8
527	ROUX (G.)	2232	8
528	ROW (R.)	21	4
529	RUBINSTEIN (MLLE)	140	0
530	RUDOLPH (M.)	727	12
531	RUDRER	0	0
532	RUSSO (C.)	436	0
533	RYCKEWAERT (P.)	26	0
534	SACEGHEM (R. VAN)	1	0
535	SACQUEPEE (E.)	6	0
536	SAKOWITSCH (S.J.)	2	0
537	SALIMBENI (A.T.)	14	1
538	SALM (A.-G.)	42	0
539	SALM (A.J.)	42	0
540	SALMON (P.)	455	7
541	SALOMON	810	810
542	SALOMON (E.)	810	5
543	SALVESTRONI	3	3
544	SAMBON (L.)	5	1
545	SANI (LUIGI)	110	0
546	SANLORENZO (F.)	2	0
547	SANZ (B.)	491	0
548	SAPHRONOWITSCH (R.A.)	0	0
549	SAPORTE (F.)	2	0
550	SARRAILHE (A.)	2	0
551	SAUVET (CH.)	19	0
552	SCHAUMANN (H.)	27	1
553	SCHEIN (HENRI)	35	0
554	SCHIESS (J.-R.)	10	0
555	SCHIRWIND (S.)	0	0
556	SCHNEIDER (G.E.)	1952	0
557	SCHNEIDER (J. E. J.)	1952	0
558	SCHOKHOR (N.-J.)	0	0
559	SCHWETZ (J.)	4	0
560	SCORDO (F.)	2	0
561	SCOTT (W.-M.)	3348	0
562	SEGUIN (DQ)	389	0
563	SÉGUINAUD (J.)	0	0
564	SEGUY (E.)	95	0
565	SENEVET (G.)	2	0
566	SERGENT (EDMOND)	199	2
567	SERGENT (ETIENNE)	199	2
568	SERGENT(ÉT.)	199	0
569	SIMOND (P.-L.)	48	0
570	SIMONIN (J.)	206	1
571	SKRJABIN (K.-J.)	2	0
572	SLATINEANO (A.)	2	0
573	SMILLIE (WILSON G.)	13	0
574	SOLOWZOFF (A.-S.)	0	0
575	SOREL (F.)	132	2
576	SORIA (P.)	192	1
577	SOULIÉ (H.)	163	0
578	SPAGNUOLO (V.)	22	0
579	SPENCER (D.-B.)	703	0
580	SPLENDORE (A.)	2	0
581	STANESCO (V.)	9	0
582	STEFKO (W.)	3	0
583	STÉVENEL (L.)	4	0
584	STRONG (R.P.)	166	0
585	SULDEY (E.-W.)	1	0
586	SURCOUF (J.)	27	2
587	SWAMINATH (G. S.)	2	0
588	SWELLENGREBEL (N.-H.)	3	1
589	TASHIM (Ibrahim)	0	0
590	TEISSONNIERE (M.)	14	0
591	TEJERA (E.)	35	0
592	TENDRON (E.)	16	0
593	TEPPAZ (A.)	5	0
594	TEPPAZ (L.)	5	1
595	THEILER (A.)	10	0
596	THÉZÉ (J.)	20	0
597	THIROUX (A.)	19	0
598	THOMSON (D.B.)	512	0
599	TODD (JOHN -L.)	703	0
