200	Constant Mathis. I	1	Constant%20AND%20Mathis.%20AND%20I	https://www.idref.fr/Sru/Solr?q=persname_t:(CONSTANT%20AND%20MATHIS.%20AND%20I)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
214	D'Anella	1	D'Anella	https://www.idref.fr/Sru/Solr?q=persname_t:(D'ANELLA)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
216	D. Buquet	1	D.%20AND%20Buquet	https://www.idref.fr/Sru/Solr?q=persname_t:(D.%20AND%20BUQUET)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
243	Dr Bonain	1	Dr%20AND%20Bonain	https://www.idref.fr/Sru/Solr?q=persname_t:(DR%20AND%20BONAIN)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
244	Dr Marqueissac	1	Dr%20AND%20Marqueissac	https://www.idref.fr/Sru/Solr?q=persname_t:(DR%20AND%20MARQUEISSAC)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
258	E Heckel	1	E%20AND%20Heckel	https://www.idref.fr/Sru/Solr?q=persname_t:(E%20AND%20HECKEL)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
259	E Marchoux	1	E%20AND%20Marchoux	https://www.idref.fr/Sru/Solr?q=persname_t:(E%20AND%20MARCHOUX)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
266	E. L. Peyre	1	E.%20AND%20L.%20AND%20Peyre	https://www.idref.fr/Sru/Solr?q=persname_t:(E.%20AND%20L.%20AND%20PEYRE)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
267	E. Marchoux	1	E.%20AND%20Marchoux	https://www.idref.fr/Sru/Solr?q=persname_t:(E.%20AND%20MARCHOUX)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
268	E. Marque	1	E.%20AND%20Marque	https://www.idref.fr/Sru/Solr?q=persname_t:(E.%20AND%20MARQUE)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
269	E. Massal	2	E.%20AND%20Massal	https://www.idref.fr/Sru/Solr?q=persname_t:(E.%20AND%20MASSAL)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
270	E. Maurel	1	E.%20AND%20Maurel	https://www.idref.fr/Sru/Solr?q=persname_t:(E.%20AND%20MAUREL)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
272	E. Métin	2	E.%20AND%20Métin	https://www.idref.fr/Sru/Solr?q=persname_t:(E.%20AND%20METIN)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
273	E. Pinard 	1	E.%20AND%20Pinard%20AND%20	https://www.idref.fr/Sru/Solr?q=persname_t:(E.%20AND%20PINARD%20AND%20)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
275	E. Sambuc	1	E.%20AND%20Sambuc	https://www.idref.fr/Sru/Solr?q=persname_t:(E.%20AND%20SAMBUC)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
282	E.-L. Peyre	1	E.-L.%20AND%20Peyre	https://www.idref.fr/Sru/Solr?q=persname_t:(E.-L.%20AND%20PEYRE)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
283	E.-W. Suldey	1	E.-W.%20AND%20Suldey	https://www.idref.fr/Sru/Solr?q=persname_t:(E.-W.%20AND%20SULDEY)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
284	E.-W. Suldey 	1	E.-W.%20AND%20Suldey%20AND%20	https://www.idref.fr/Sru/Solr?q=persname_t:(E.-W.%20AND%20SULDEY%20AND%20)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
288	Emilio Ribas	1	Emilio%20AND%20Ribas	https://www.idref.fr/Sru/Solr?q=persname_t:(EMILIO%20AND%20RIBAS)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
