69	BORREL (A.)	BORREL	A.	https://www.idref.fr/Sru/Solr?q=persname_t:BORREL%20A.&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	https://www.idref.fr/Sru/Solr?q=persname_t:(BORREL%20AND%20A.)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	72	0
70	BOSSAVY (F.)	BOSSAVY	F.	https://www.idref.fr/Sru/Solr?q=persname_t:BOSSAVY%20F.&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	https://www.idref.fr/Sru/Solr?q=persname_t:(BOSSAVY%20AND%20F.)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	6	0
74	BOUET (G.)	BOUET	G.	https://www.idref.fr/Sru/Solr?q=persname_t:BOUET%20G.&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	https://www.idref.fr/Sru/Solr?q=persname_t:(BOUET%20AND%20G.)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	134	0
76	BOUILLIEZ (M.)	BOUILLIEZ	M.	https://www.idref.fr/Sru/Solr?q=persname_t:BOUILLIEZ%20M.&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	https://www.idref.fr/Sru/Solr?q=persname_t:(BOUILLIEZ%20AND%20M.)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	6	0
78	BOUQUET (H.)	BOUQUET	H.	https://www.idref.fr/Sru/Solr?q=persname_t:BOUQUET%20H.&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	https://www.idref.fr/Sru/Solr?q=persname_t:(BOUQUET%20AND%20H.)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	240	0
79	BOURRAGUÉ (N.)	BOURRAGUÉ	N.	https://www.idref.fr/Sru/Solr?q=persname_t:BOURRAGUÉ%20N.&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	https://www.idref.fr/Sru/Solr?q=persname_t:(BOURRAGUÉ%20AND%20N.)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	1	0
80	BOURRET (G.)	BOURRET	G.	https://www.idref.fr/Sru/Solr?q=persname_t:BOURRET%20G.&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	https://www.idref.fr/Sru/Solr?q=persname_t:(BOURRET%20AND%20G.)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	81	0
82	BOUVIER (J.E.)	BOUVIER	J.E.	https://www.idref.fr/Sru/Solr?q=persname_t:BOUVIER%20J.E.&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	https://www.idref.fr/Sru/Solr?q=persname_t:(BOUVIER%20AND%20J.E.)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	625	0
83	BRAU (P.)	BRAU	P.	https://www.idref.fr/Sru/Solr?q=persname_t:BRAU%20P.&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	https://www.idref.fr/Sru/Solr?q=persname_t:(BRAU%20AND%20P.)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	44	0
85	BRÉMONT (E.)	BRÉMONT	E.	https://www.idref.fr/Sru/Solr?q=persname_t:BRÉMONT%20E.&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	https://www.idref.fr/Sru/Solr?q=persname_t:(BRÉMONT%20AND%20E.)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	33	0
