TOURNAIRE (P.)
TOURNIER (E.)
TOURNIER (ELIE)
TRAUTMANN (R.)
TRIBAUDEAU (J.)
TRIBONDEAU (L.)
TRIBOUT (A.)
TRILLAT()
TROUETTE (G.)
TROUSSAINT()
ULBRICH (H.)
URBAIN (G.)
VAILLANT (L.)
VAILLARD
VALLET (G.)
VALLIN
VAN DEN BRANDEN (F.)
VAN HOOF (L.)
VAN SACEGHEM (R.)
VANDENBRANDEN (F.)
VASSAL (J.J.)
VEILLON (A.)
VELU (A.)
VELU (H.)
VERDUN (P.)
VERNES (A.)
VIALATTE (C.)
VIALATTE (CH )
VIENNE (M.)
VIGNE (P.)
VIGUIER (A.)
VILLENEUVE
VILLENEUVE (J.)
VINCENT
VINCENT (H.)
VIOLLE (H.)
VIOLLE (R.)
VISENTINI (A.)
VIVIEN
VON KNAFF-LENZ (E.)
WACON (P.)
WAGON
WAGON (P.)
WASSILEWSKY (W.J.)
WEINBERG (M.)
WENIAMINOFF (S.D.)
WINOGRADOFF (A.A.)
WINOGRADOFF (W.W.)
WITH
WURTZ (R.)
WYDOOGHE (J.)
YAKIMOFF (A.-S.)
YAKIMOFF (W -L )
YAKOBLEW
YAMANOUCHI (T.)
YERSIN (A.)
YOFÉ (H.)
YVERNAULT (A.)
YVON (P.)
ZABOLOTNY
ZAMMIT (TH.)
ZUCCARELLI
